,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
182,107640,KR7107640005,한중엔시에스,KOSDAQ,기술성장기업부,39200,2,-1400,-3.45,42850,43000,39000,225116,9148450250,350798683200,8948946,KSQ
183,067080,KR7067080002,대화제약,KOSDAQ,중견기업부,18800,1,300,1.62,18800,19270,18150,546065,10165432110,349993020000,18616650,KSQ
184,053610,KR7053610002,프로텍,KOSDAQ,우량기업부,31800,1,150,0.47,31950,32050,30650,31980,1011875950,349800000000,11000000,KSQ
185,094170,KR7094170008,동운아나텍,KOSDAQ,벤처기업부,18270,2,-80,-0.44,18400,18450,18190,63948,1168219670,348357890160,19067208,KSQ
186,460930,KR7460930001,현대힘스,KOSDAQ,중견기업부,9840,2,-170,-1.7,9990,10110,9800,81732,809550530,347685290640,35333871,KSQ
187,093320,KR7093320000,케이아이엔엑스,KOSDAQ,우량기업부,70900,2,-400,-0.56,70600,71700,70600,6105,433634100,345992000000,4880000,KSQ
188,200670,KR7200670008,휴메딕스,KOSDAQ,우량기업부,30800,2,-650,-2.07,31300,31400,30300,110923,3416012500,345881844000,11229930,KSQ
189,083650,KR7083650002,비에이치아이,KOSDAQ,중견기업부,11150,2,-450,-3.88,11610,11690,11000,2797853,31756013970,345029781250,30944375,KSQ
190,043150,KR7043150002,바텍,KOSDAQ,우량기업부,23000,2,-100,-0.43,23250,23250,22650,13409,306150050,341647888000,14854256,KSQ
191,114840,KR7114840002,아이패밀리에스씨,KOSDAQ,벤처기업부,19700,2,-650,-3.19,20250,20600,19600,116599,2317188460,339272296800,17221944,KSQ
192,036620,KR7036620003,감성코퍼레이션,KOSDAQ,우량기업부,3695,1,75,2.07,3620,3695,3560,437213,1596706475,335302375940,90744892,KSQ
193,230360,KR7230360000,에코마케팅,KOSDAQ,우량기업부,10620,1,30,0.28,10590,10700,10400,53979,570019300,334190467980,31468029,KSQ
194,216080,KR7216080002,제테마,KOSDAQ,기술성장기업부,18700,1,530,2.92,18030,18990,17900,124589,2315787580,333958793300,17858759,KSQ
195,089980,KR7089980007,상아프론테크,KOSDAQ,우량기업부,20750,2,-500,-2.35,21300,21500,20550,24797,516730350,331772517750,15989037,KSQ
196,256840,KR7256840000,한국비엔씨,KOSDAQ,벤처기업부,4885,2,-145,-2.88,5100,5170,4885,664766,3302325040,331752284055,67912443,KSQ
197,049070,KR7049070006,인탑스,KOSDAQ,우량기업부,19280,2,-310,-1.58,19550,19700,19150,80948,1563138320,331616000000,17200000,KSQ
198,215600,KR7215600008,신라젠,KOSDAQ,중견기업부,2400,1,15,0.63,2395,2410,2340,516781,1230010145,329681100000,137367125,KSQ
199,252990,KR7252990007,샘씨엔에스,KOSDAQ,기술성장기업부,5640,2,-120,-2.08,5860,5930,5550,221711,1268085920,329308675320,58388063,KSQ
200,119610,KR7119610004,인터로조,KOSDAQ,관리종목(소속부없음),24900,0,0,0.0,0,0,0,0,0,329090302200,13216478,KSQ
201,023160,KR7023160005,태광,KOSDAQ,우량기업부,12410,2,-490,-3.8,12900,13000,12370,187185,2354045330,328865000000,26500000,KSQ
202,243070,KR7243070000,휴온스,KOSDAQ GLOBAL,우량기업부,27450,2,-350,-1.26,27800,27850,27150,21082,578560550,328841804250,11979665,KSQ
203,038500,KR7038500005,삼표시멘트,KOSDAQ,우량기업부,3030,2,-90,-2.88,3100,3120,3025,315388,967532755,326986407180,107916306,KSQ
204,059090,KR7059090001,미코,KOSDAQ,중견기업부,9780,2,-290,-2.88,10080,10170,9720,254190,2508927060,326816088840,33416778,KSQ
205,018310,KR7018310003,삼목에스폼,KOSDAQ,우량기업부,22100,2,-300,-1.34,22500,22650,21500,36749,804140700,324870000000,14700000,KSQ
206,114190,KR7114190002,강원에너지,KOSDAQ,우량기업부,12430,1,90,0.73,12660,12820,12240,66993,835312990,324709362340,26123038,KSQ
207,033500,KR7033500000,동성화인텍,KOSDAQ,우량기업부,10760,2,-240,-2.18,11010,11150,10750,115276,1251591710,322686955440,29989494,KSQ
208,035890,KR7035890003,서희건설,KOSDAQ,우량기업부,1398,2,-12,-0.85,1418,1427,1392,213268,298949742,321272222886,229808457,KSQ
209,378340,KR7378340004,필에너지,KOSDAQ,중견기업부,15050,2,-120,-0.79,15620,15920,14980,185910,2860945680,320352524100,21285882,KSQ
210,051360,KR7051360006,토비스,KOSDAQ,벤처기업부,19730,2,-320,-1.6,20300,20300,19460,89955,1778927800,318976054340,16167058,KSQ
211,101730,KR7101730000,위메이드맥스,KOSDAQ,우량기업부,9580,2,-140,-1.44,9670,9890,9550,56294,543832030,318968897360,33295292,KSQ
212,041830,KR7041830001,인바디,KOSDAQ,우량기업부,23250,2,-100,-0.43,23400,23500,23000,12222,283248700,318147931500,13683782,KSQ
213,099430,KR7099430001,바이오플러스,KOSDAQ,중견기업부,5460,2,-30,-0.55,5410,5490,5290,227478,1223624340,316302517440,57930864,KSQ
214,094480,KR7094480001,갤럭시아머니트리,KOSDAQ,중견기업부,8020,1,80,1.01,8020,8130,7800,583353,4646272250,314623300760,39229838,KSQ
215,095610,KR7095610002,테스,KOSDAQ,우량기업부,15870,2,-230,-1.43,16260,16450,15850,62930,1006750960,313721746620,19768226,KSQ
216,101160,KR7101160000,월덱스,KOSDAQ,우량기업부,18990,2,-30,-0.16,19100,19100,18630,114683,2160619350,313543757070,16510993,KSQ
217,095500,KR7095500005,미래나노텍,KOSDAQ,우량기업부,10020,2,-50,-0.5,10300,10470,9960,121863,1226232580,310720189980,31009999,KSQ
218,039440,KR7039440003,에스티아이,KOSDAQ,우량기업부,19520,2,-360,-1.81,20000,20200,19450,109595,2154591620,309001600000,15830000,KSQ
219,031330,KR7031330004,에스에이엠티,KOSDAQ,우량기업부,3070,2,-85,-2.69,3155,3165,3050,226285,701147095,306984855690,99995067,KSQ
220,041960,KR7041960006,코미팜,KOSDAQ,벤처기업부,4295,2,-5,-0.12,4330,4430,4235,59873,256475395,303322490735,70622233,KSQ
221,025770,KR7025770009,한국정보통신,KOSDAQ,우량기업부,8070,2,-10,-0.12,8210,8210,7980,5307,42640310,302175266970,37444271,KSQ
222,003800,KR7003800000,에이스침대,KOSDAQ,우량기업부,27150,1,50,0.18,27100,27500,27000,1295,35118050,301093500000,11090000,KSQ
223,032500,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,7540,2,-100,-1.31,7710,7720,7380,87087,651238900,300249457820,39820883,KSQ
224,136480,KR7136480001,하림,KOSDAQ,우량기업부,2825,2,-10,-0.35,2835,2840,2820,177250,501217105,300042408150,106209702,KSQ
225,267980,KR7267980001,매일유업,KOSDAQ,우량기업부,38000,1,150,0.4,38200,38250,37650,6720,254023200,298058244000,7843638,KSQ
226,045100,KR7045100005,한양이엔지,KOSDAQ,우량기업부,16510,2,-150,-0.9,16660,16720,16510,14239,235864420,297180000000,18000000,KSQ
227,439090,KR7439090002,마녀공장,KOSDAQ,중견기업부,18000,2,-600,-3.23,18620,18770,18000,181726,3303190880,294808680000,16378260,KSQ
228,089010,KR7089010003,켐트로닉스,KOSDAQ,우량기업부,19130,2,-970,-4.83,19960,20350,18500,164855,3216132070,293346038980,15334346,KSQ
229,013030,KR7013030002,하이록코리아,KOSDAQ,우량기업부,22650,2,-300,-1.31,22950,23350,22600,43836,1002900000,291189532500,12856050,KSQ
230,243840,KR7243840006,신흥에스이씨,KOSDAQ,우량기업부,7440,2,-20,-0.27,7520,7720,7440,75206,565704320,289557620400,38919035,KSQ
231,058820,KR7058820002,CMG제약,KOSDAQ,우량기업부,2075,2,-20,-0.95,2100,2105,2060,308831,641210855,288201406300,138892244,KSQ
232,900290,HK0000307485,GRT,KOSDAQ,외국기업(소속부없음),4270,2,-580,-11.96,4885,4965,4200,759936,3367355815,287691250000,67375000,KSQ
233,071280,KR7071280002,로체시스템즈,KOSDAQ,우량기업부,18510,2,-840,-4.34,19350,19470,18360,54412,1017330270,283140121530,15296603,KSQ
234,060250,KR7060250008,NHN KCP,KOSDAQ GLOBAL,우량기업부,7030,2,-210,-2.9,7290,7290,7020,172910,1224419530,282329095330,40160611,KSQ
235,044490,KR7044490001,태웅,KOSDAQ,우량기업부,14090,2,-70,-0.49,14160,14220,13920,30158,423996780,281903998290,20007381,KSQ
236,389650,KR7389650003,넥스트바이오메디컬,KOSDAQ,기술성장기업부,34800,2,-1400,-3.87,35800,37300,34800,284613,10173600600,281416672800,8086686,KSQ
237,255220,KR7255220006,SG,KOSDAQ,중견기업부,2985,1,55,1.88,2875,3110,2790,10186712,30312246085,280810266135,94073791,KSQ
238,323990,KR7323990002,박셀바이오,KOSDAQ,기술성장기업부,12200,2,-490,-3.86,12670,12670,12020,183655,2252621460,280517040000,22993200,KSQ
239,094360,KR7094360005,칩스앤미디어,KOSDAQ,벤처기업부,13400,1,380,2.92,13100,14090,12950,141798,1897952590,279029861600,20823124,KSQ
240,083450,KR7083450007,GST,KOSDAQ,우량기업부,14860,2,-400,-2.62,15200,15310,14840,236247,3547225610,276667343600,18618260,KSQ
241,108860,KR7108860008,셀바스AI,KOSDAQ,우량기업부,10220,1,80,0.79,10220,10330,10020,182198,1850262390,275069153800,26914790,KSQ
242,179290,KR7179290002,엠아이텍,KOSDAQ,우량기업부,8440,2,-280,-3.21,8720,8860,8340,268163,2303690770,273166322320,32365678,KSQ
243,060280,KR7060280005,큐렉소,KOSDAQ,중견기업부,6630,2,-20,-0.3,6650,6680,6500,95755,628598410,272426633700,41089990,KSQ
244,086980,KR7086980000,쇼박스,KOSDAQ,중견기업부,4340,1,95,2.24,4210,4350,4210,843654,3627878940,271848920000,62638000,KSQ
245,174900,KR7174900001,앱클론,KOSDAQ,기술성장기업부,15600,2,-570,-3.53,16170,16170,15550,124511,1956949480,271831731600,17425111,KSQ
246,297890,KR7297890006,HB솔루션,KOSDAQ,우량기업부,3715,2,-5,-0.13,3740,3775,3675,702548,2610442415,271718495510,73140914,KSQ
247,360070,KR7360070007,탑머티리얼,KOSDAQ,벤처기업부,33550,1,200,0.6,34000,34600,33250,17905,602376300,270974727650,8076743,KSQ
248,211050,KR7211050000,인카금융서비스,KOSDAQ,기술성장기업부,5250,1,130,2.54,5210,5250,5110,54676,284850080,269743950000,51379800,KSQ
249,104830,KR7104830005,원익머트리얼즈,KOSDAQ,우량기업부,21300,1,250,1.19,21050,21350,20850,63952,1345558350,268550400000,12608000,KSQ
250,126700,KR7126700004,하이비젼시스템,KOSDAQ,우량기업부,17790,2,-1310,-6.86,20250,21000,17690,3908218,76447962800,265820172480,14942112,KSQ
